DATE,MANMM101AUQ189S
1960-04-01,3571700999.0630803
1960-07-01,3571235574.87451
1960-10-01,3479041067.40061
1961-01-01,3349031523.64431
1961-04-01,3339975158.73007
1961-07-01,3354885103.46908
1961-10-01,3372266916.6869903
1962-01-01,3410330029.4639797
1962-04-01,3441227559.3961697
1962-07-01,3435316050.98662
1962-10-01,3435663903.05452
1963-01-01,3464593623.72208
1963-04-01,3526064827.26959
1963-07-01,3600010517.58394
1963-10-01,3686784223.72933
1964-01-01,3804702087.4287
1964-04-01,3802530749.46151
1964-07-01,3856492672.82958
1964-10-01,3872183578.64437
1965-01-01,3873809449.85386
1965-04-01,3848788434.08188
1965-07-01,3800912519.89613
1965-10-01,3782932237.75812
1966-01-01,3792366044.13357
1966-04-01,3889970235.38986
1966-07-01,3996069738.5397797
1966-10-01,4078015630.0634003
1967-01-01,4142051179.9923396
1967-04-01,4151511729.41141
1967-07-01,4251391104.89143
1967-10-01,4343155608.45127
1968-01-01,4369526255.33319
1968-04-01,4507104738.51028
1968-07-01,4553527989.13362
1968-10-01,4588480371.82885
1969-01-01,4747249231.61259
1969-04-01,4845467624.54969
1969-07-01,4901721997.61355
1969-10-01,4996497251.92409
1970-01-01,5212437068.853971
1970-04-01,5087531845.897321
1970-07-01,5154827089.62732
1970-10-01,5249990854.49268
1971-01-01,5275186870.73077
1971-04-01,5385461907.04714
1971-07-01,5538980886.49025
1971-10-01,5542440957.7991295
1972-01-01,5657188717.4564
1972-04-01,5888095175.72854
1972-07-01,6229897338.441521
1972-10-01,6667483444.65123
1973-01-01,6932915607.41125
1973-04-01,7458875649.33202
1973-07-01,7785405843.67486
1973-10-01,7780848569.8125
1974-01-01,7765944275.40787
1974-04-01,7570925282.25463
1974-07-01,7478247966.79359
1974-10-01,7738808787.5113
1975-01-01,8400000000
1975-04-01,9000000000
1975-07-01,9300000000.0
1975-10-01,9800000000
1976-01-01,10100000000
1976-04-01,10200000000
1976-07-01,10400000000.0
1976-10-01,10700000000
1977-01-01,11000000000
1977-04-01,11100000000
1977-07-01,11300000000
1977-10-01,11400000000
1978-01-01,11700000000
1978-04-01,12000000000
1978-07-01,12400000000
1978-10-01,12800000000
1979-01-01,13400000000
1979-04-01,14000000000
1979-07-01,14500000000
1979-10-01,14700000000
1980-01-01,15400000000
1980-04-01,15800000000
1980-07-01,16399999999.999998
1980-10-01,17200000000
1981-01-01,17200000000
1981-04-01,17700000000.0
1981-07-01,18000000000.0
1981-10-01,18100000000
1982-01-01,18200000000.0
1982-04-01,18100000000
1982-07-01,18000000000
1982-10-01,18100000000
1983-01-01,18700000000.0
1983-04-01,19100000000
1983-07-01,19600000000
1983-10-01,20900000000
1984-01-01,20500000000.0
1984-04-01,21000000000
1984-07-01,21600000000
1984-10-01,22300000000
1985-01-01,23000000000
1985-04-01,23900000000
1985-07-01,24000000000
1985-10-01,23900000000
1986-01-01,24300000000
1986-04-01,25500000000
1986-07-01,26100000000
1986-10-01,27100000000.0
1987-01-01,28300000000
1987-04-01,29400000000.0
1987-07-01,31300000000.0
1987-10-01,32700000000.000004
1988-01-01,34100000000
1988-04-01,35200000000
1988-07-01,36500000000.0
1988-10-01,38700000000.0
1989-01-01,40900000000.0
1989-04-01,40800000000
1989-07-01,40600000000.0
1989-10-01,42000000000.0
1990-01-01,40800000000.0
1990-04-01,42400000000
1990-07-01,43400000000.0
1990-10-01,45200000000.0
1991-01-01,44200000000.0
1991-04-01,45300000000
1991-07-01,46800000000.0
1991-10-01,48600000000.0
1992-01-01,50200000000.0
1992-04-01,52000000000
1992-07-01,58300000000.0
1992-10-01,58400000000.0
1993-01-01,61400000000.0
1993-04-01,64700000000
1993-07-01,65200000000.0
1993-10-01,68700000000.0
1994-01-01,72300000000.0
1994-04-01,74400000000
1994-07-01,75500000000.0
1994-10-01,76200000000.0
1995-01-01,75800000000.0
1995-04-01,76200000000.0
1995-07-01,77800000000.0
1995-10-01,81100000000
1996-01-01,84300000000.0
1996-04-01,85900000000.0
1996-07-01,87700000000.0
1996-10-01,92400000000
1997-01-01,94800000000.0
1997-04-01,98000000000
1997-07-01,102000000000.0
1997-10-01,105000000000.0
1998-01-01,104900000000.0
1998-04-01,109100000000
1998-07-01,110300000000.0
1998-10-01,111800000000.0
1999-01-01,115200000000.0
1999-04-01,116600000000.0
1999-07-01,119300000000.0
1999-10-01,123000000000.0
2000-01-01,124600000000
2000-04-01,127200000000.0
2000-07-01,130900000000.0
2000-10-01,134900000000.0
2001-01-01,142100000000
2001-04-01,148800000000.0
2001-07-01,154900000000.0
2001-10-01,164000000000.0
2002-01-01,168400000000.0
2002-04-01,202900000000.0
2002-07-01,205600000000.0
2002-10-01,210800000000.0
2003-01-01,214400000000.0
2003-04-01,217700000000.0
2003-07-01,226900000000.0
2003-10-01,232000000000.0
2004-01-01,235200000000.0
2004-04-01,237100000000.0
2004-07-01,242100000000.0
2004-10-01,247500000000.0
2005-01-01,253700000000.0
2005-04-01,260100000000.00003
2005-07-01,267200000000.0
2005-10-01,273000000000.0
2006-01-01,282000000000.0
2006-04-01,288000000000.0
2006-07-01,294800000000.0
2006-10-01,303000000000.0
2007-01-01,314100000000.0
2007-04-01,331900000000.0
2007-07-01,338600000000.0
2007-10-01,342800000000.0
2008-01-01,341900000000.0
2008-04-01,347000000000.0
2008-07-01,355800000000.0
2008-10-01,388400000000.0
2009-01-01,395000000000.0
2009-04-01,415100000000.0
2009-07-01,415000000000.0
2009-10-01,404400000000.0
2010-01-01,409500000000.0
2010-04-01,413800000000.0
2010-07-01,431200000000.0
2010-10-01,437200000000.0
2011-01-01,446900000000.0
2011-04-01,437900000000.0
2011-07-01,442900000000.0
2011-10-01,445500000000.0
2012-01-01,444900000000.0
2012-04-01,460500000000.0
2012-07-01,481300000000.0
2012-10-01,494600000000.0
2013-01-01,514299999999.99994
2013-04-01,530700000000.00006
2013-07-01,541600000000.0
2013-10-01,567200000000.0
2014-01-01,578300000000.0
2014-04-01,599400000000.0
2014-07-01,613100000000.0
2014-10-01,634000000000.0
2015-01-01,660900000000.0
2015-04-01,682400000000.0
2015-07-01,707900000000.0
2015-10-01,722300000000.0
2016-01-01,741100000000.0
2016-04-01,750200000000.0
2016-07-01,760200000000.0
2016-10-01,783700000000.0
2017-01-01,805500000000.0
2017-04-01,825400000000.0
2017-07-01,831600000000.0
2017-10-01,855900000000.0
2018-01-01,869400000000.0
2018-04-01,870600000000.0
2018-07-01,866000000000.0
2018-10-01,878100000000.0
2019-01-01,887800000000.0
2019-04-01,909400000000.0
2019-07-01,1032200000000.0
2019-10-01,1074200000000.0
2020-01-01,1191200000000.0
2020-04-01,1262200000000.0
2020-07-01,1307500000000.0
